time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.137018689826147e-07,-6.147941674210596e-08,0.008373750447259761,6.282849152280761,6.282994793742034,0.0,1.4867939785462682e-05,-1.9276928193102975e-05,0.27909818126151975,-0.02021297758504865,-0.010433251840932481,0.0,490.40953433693556,489.6341601116797,491.62343695308033,490.1238276065306
0.12000000000000001,8.606161644453294e-06,-1.490900873952927e-05,0.03264889724103136,6.281960080415647,6.282476842966911,0.0,0.00033903986877420716,-0.0006041226638937251,0.529990383287289,-0.005767056105871988,-0.005254463245385827,0.0,482.7436929717787,483.1343746259944,481.55862639902443,482.6500520217464
0.18,4.520031349591908e-05,-7.897862046103082e-05,0.06829973231042726,6.281354284182594,6.282391564948526,0.0,0.0009009970328348119,-0.0015800429549996395,0.6583050239006921,-0.020585573628633412,0.00531465486077355,0.0,445.9250016038441,446.78743921469726,446.46097798125794,445.2505827418229
0.23999999999999996,0.00012005334214492555,-0.00023230087265087808,0.11852122000114904,6.280048968868101,6.282297137417084,0.0,0.0015699767181437047,-0.0037079668932063063,1.0154969999934342,-0.024203474552595073,-0.021218377091686003,0.0,513.6468984626913,511.7620825500436,512.500097385815,512.2429780853344
0.3,0.0002396681976493243,-0.0005316801112958654,0.18438608748432428,6.2786329666119585,6.280659907776297,0.0,0.002574639710764115,-0.0064307194691733335,1.1798424370282845,-0.022419814002635183,-0.04359489103657195,0.0,458.7903721764535,457.0102502769299,457.8418991404506,457.9837296627653
0.36000000000000004,0.000453507330660619,-0.001012455429308225,0.25733968071133595,6.277529500520931,6.278333108159334,0.0,0.004793553443233837,-0.00971356849055825,1.2518661978870267,-0.01135457288880963,-0.030566868122218534,0.0,428.465145989234,429.5703566431988,429.2002564300331,430.13828189704196
0.4200000000000001,0.0008475101449875021,-0.0017136162399285823,0.3352678416682585,6.276891832582615,6.27626914285802,0.0,0.008534923154516167,-0.013724460956771482,1.3456317085648644,-0.009212493844400756,-0.04344461188306445,0.0,436.72722882965445,435.65134406039255,436.7130914571462,436.8918318766446
0.48000000000000015,0.0015406570282617657,-0.002691935181381554,0.42295543853388,6.277649260764274,6.274310115472044,0.0,0.01483794411802881,-0.01884952537800065,1.576996365536123,0.037844151052372266,-0.0169261235229894,0.0,478.60091668277477,480.6143617489124,475.6559551217467,479.24574577943554
0.5400000000000001,0.002620869576275106,-0.003930027531560878,0.5208700787288072,6.280004981643529,6.273254701510149,0.0,0.02127478826917132,-0.022180067528826987,1.6866695436195651,0.04195613245677008,-0.01895258503001934,0.0,443.13661874833883,442.970091862146,441.6043127658326,441.94412210779484
0.6000000000000002,0.004132067793396003,-0.00532279340012229,0.6275476510315099,6.2831145809647,6.2719828774515705,0.0,0.029232657864490294,-0.02391781305429706,1.8689688731577228,0.06652974873137572,-0.026112824115316312,0.0,466.3622081888831,465.8026609066617,462.97430083600204,464.9050922182015
0.6600000000000003,0.00618510820374102,-0.006740614360423284,0.7480482123746619,0.0037769667650264793,6.270374592550958,0.0,0.03940021071834776,-0.022839542558899383,2.147233919434049,0.058834032016454596,-0.028225599784944957,0.0,493.863579991412,493.7076476344391,493.41486269565183,492.84898649050734
0.7200000000000003,0.008782861982633911,-0.008031822442120444,0.8770446937399928,0.007581424280332705,6.2688605326523845,0.0,0.04733204284461337,-0.019877002931545887,2.152635082442586,0.07126346259574151,-0.01983873623304901,0.0,409.34206975902777,410.0875189219761,410.65647627803804,411.76073413818773
0.7800000000000004,0.011947283879343205,-0.009037006773816242,1.0108742709677099,0.012277745280155905,6.2679400385623865,0.0,0.05825918787443004,-0.013134433432953192,2.308043999916792,0.08950802017627021,-0.007596533938812332,0.0,458.5146849608602,459.4862854645876,457.3994811408344,458.8546601498284
0.8400000000000004,0.015879180158154125,-0.009447462969456253,1.1601520422663674,0.017705983442588114,6.267239335056578,0.0,0.07287107888277404,0.00019979326851438453,2.6671045670296145,0.09232826555401837,-0.02143879800962465,0.0,518.2988394383796,517.3252528661701,516.730288039704,516.9346490269289
0.9000000000000005,0.02060960762593283,-0.009020408854702325,1.3246605548796608,0.023586389635370963,6.265472834707271,0.0,0.0849607374767116,0.014654311144396841,2.8161423560117163,0.1074503387128719,-0.054615632009625215,0.0,460.01862861941794,457.38355292471584,458.5507543262109,459.7582383513959
0.9600000000000005,0.026171998297577256,-0.007512604743226897,1.5013414308485369,0.0298454377572952,6.262323520357672,0.0,0.10084196855212207,0.03638513952564715,3.0725388129442783,0.09717806988662686,-0.0485432309707198,0.0,491.59116155593273,492.0393996041748,490.98107996390985,490.2267089787143
1.0200000000000005,0.032661422210544265,-0.004695425401052306,1.6885330997911798,0.03522115545833415,6.259373912095279,0.0,0.1157631482568098,0.05808719643046964,3.1669002497839944,0.06670545841713199,-0.050422963699918597,0.0,445.5589449433903,445.4037434378002,444.30650096291674,441.80746325225124
1.0800000000000005,0.040019610849856,-0.0006015715386766558,1.8777980007153752,0.03962829781507793,6.256314283956105,0.0,0.12976558995507,0.07873024371063146,3.141976556066644,0.08434629243664502,-0.05216020381166193,0.0,404.8241727684473,404.66587780924084,405.87626831000455,407.46112386051215
1.1400000000000006,0.04830105963836818,0.004855120285498432,2.0667070617745966,0.045096526592730335,6.253559206113067,0.0,0.14654189468029816,0.10362918084752018,3.15492587126411,0.10208747496984526,-0.03569599298939332,0.0,417.3175007152653,418.75073858591753,418.08244619057564,419.6327833150383
